iter	Logloss
0	0.6774856131
1	0.6623865618
2	0.6488627407
3	0.6369035121
4	0.6232497297
5	0.6088160052
6	0.5966378348
7	0.5848281424
8	0.5707236154
9	0.561353193
10	0.5503798131
11	0.5389915248
12	0.5289939662
13	0.5199074009
14	0.5117681449
15	0.5033348737
16	0.4939358956
17	0.484223284
18	0.4768055507
19	0.4690723092
20	0.4626495361
21	0.4564269148
22	0.4492033168
23	0.4427917045
24	0.4367940848
25	0.4306153216
26	0.4245711844
27	0.4177036394
28	0.4120154245
29	0.4057099261
30	0.398787929
31	0.3941915894
32	0.389627424
33	0.3856160191
34	0.3821371024
35	0.3780337088
36	0.3741891915
37	0.370073591
38	0.3653514535
39	0.3608199201
40	0.3560365513
41	0.352679378
42	0.3491352626
43	0.3460634286
44	0.343099496
45	0.3391524397
46	0.3351508658
47	0.3323677717
48	0.3298908561
49	0.3275820487
50	0.3249596296
51	0.3224057007
52	0.3199281529
53	0.3179623631
54	0.315045929
55	0.3130885315
56	0.3107195391
57	0.308515843
58	0.3063812256
59	0.3041396659
60	0.3022451346
61	0.3003380694
62	0.2983965628
63	0.2968660627
64	0.2950697109
65	0.2934676906
66	0.2919254848
67	0.2902472796
68	0.2886800276
69	0.2866496931
70	0.2851342773
71	0.28341265
72	0.2818654306
73	0.2802884129
74	0.2791567993
75	0.2776272801
76	0.2761774554
77	0.2750313895
78	0.2738526481
79	0.2728554862
80	0.271963174
81	0.2710471889
82	0.2700330462
83	0.2690472194
84	0.2680436489
85	0.2672438703
86	0.2665552412
87	0.2656295776
88	0.2645850263
89	0.2639021737
90	0.2632720075
91	0.2623093087
92	0.2616579764
93	0.2609928022
94	0.2602576991
95	0.2590061515
96	0.2584079633
97	0.2578106471
98	0.2567084612
99	0.2559743391
100	0.2553679548
101	0.2546998378
102	0.2539641026
103	0.2533020891
104	0.2527310617
105	0.2521249826
106	0.2518245588
107	0.2511013358
108	0.2505137416
109	0.2498528181
110	0.2492987932
111	0.2488866098
112	0.2485069057
113	0.24793396
114	0.247517395
115	0.2467829677
116	0.2462890625
117	0.2458429391
118	0.2455348424
119	0.2451153782
120	0.2445864868
121	0.2439682879
122	0.2433391026
123	0.2430225481
124	0.2426689366
125	0.2424027361
126	0.242096514
127	0.2417470442
128	0.2414676775
129	0.2410929435
130	0.2407064819
131	0.2404144287
132	0.2399556623
133	0.2394910104
